Publisher,Latitude,Longitude,Formatted address,Website,Type of Publisher,Genres Published,Year Established,Distributor
Instar Books,40.6781784,-73.9441579,"Brooklyn, NY, USA",https://www.instarbooks.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Erotica, Essays, Experimental, Feminist, Horror Thriller Suspense, Political, Sci Fi Fantasy Speculative",2014-01-01,Itasca Books and publisher website
International Human Rights Art Movement (IHRAM),40.7432847,-73.8549518,"Queens, NY, USA",https://humanrightsartmovement.org/,"Magazine, Press","Poetry, Environment Nature, Essays, Political, Regional, Visual Art, Young Adult",2018-01-01,
Inverted Syntax,40.1672068,-105.1019275,"Longmont, CO, USA",https://www.invertedsyntax.com,"Online, Press","Creative Nonfiction, Poetry, Flash Fiction, Visual Art",2018-01-01,
Invisible Publishing,43.6548253,-79.388447,"Toronto, ON, Canada",https://invisiblepublishing.com,Press,"Essays, Fiction, Poetry, Reviews, Translation, Visual Art",2007-01-01,
Jackdaw Press & Jackdaw Review,32.715738,-117.1610838,"San Diego, CA, USA",http://jackdawpress.com,"Online, Press","Poetry, Visual Art",2024-01-01,
JackLeg Press,38.9072873,-77.0369274,"Washington, DC, USA",http://www.jacklegpress.org,Press,"Fiction, Poetry",2020-01-01,
Jerry Jazz Musician,45.515232,-122.6783853,"Portland, OR, USA",https://www.jerryjazzmusician.com/,"Magazine, Online, Press","Creative Nonfiction, Fiction, Poetry, Essays, Interviews, Political",1999-01-01,Other
June Road Press,40.045824,-75.4395931,"Berwyn, PA, USA",https://www.juneroadpress.com,Press,Poetry,2020-01-01,Asterism Books and other
Kallisto Gaia Press,30.7857464,-97.2749968,"Davilla, TX 76511, USA",http://www.kallistogaiapress.org,Press,"Fiction, Poetry, Essays, Visual Art",2015-01-01,
Kate Hitt & Many Names Press,40.8829072,-123.9839488,"Blue Lake, CA, USA",https://manynamespress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Environment Nature, Essays, Feminist, Visual Art",1993-01-01,
Kattywompus Press,42.3808757,-71.1002881,"Somerville, MA 02143, USA",http://www.kattywompuspress.com/,Press,"Fiction, Poetry, Essays, Graphic Novels Comics, Visual Art",2010-01-01,
KayTell Publishing,39.2905023,-76.6104072,"Baltimore, MD, USA",https://www.kaytellinkpublishing.com/,"Magazine, Press","Audio, Essays, Fiction, Graphic Novels Comics, Poetry, Reviews, Visual Art",2021-01-01,
KB Writes Publishing Company,35.1485812,-90.0518955,"Memphis, TN, USA",https://kbwrite.com,"Magazine, Press","Fiction, Poetry, Audio, Autobiography Memoir, Criticism Reviews, Drama, Essays, Experimental, Horror Thriller Suspense, Humor, Interviews, Mystery Crime, Regional, Religious, Reviews, Sci Fi Fantasy Speculative, Visual Art, Young Adult",2017-01-01,
Kelsay Books,40.3768954,-111.7957645,"American Fork, UT 84003, USA",https://kelsaybooks.com/,Press,Poetry,2013-01-01,
"Kinsman Avenue Publishing, Inc.",43.1565779,-77.6088465,"Rochester, NY, USA",https://www.kinsmanquarterly.org/,"Magazine, Press","Essays, Fiction, Poetry, Reviews, Visual Art",2023-01-01,
Laertes,35.9131996,-79.0558445,"Chapel Hill, NC, USA",http://www.laertesbooks.org,Press,"Essays, Fiction, Poetry, Translation",2017-01-01,
Lefty Blondie Press,40.4250514,-79.6665277,"Murrysville, PA, USA",https://www.leftyblondiepress.com/,Press,Poetry,2012-01-01,
Lightning Ink Press Co.,37.33548,-121.893028,"San Jose, CA, USA",https://www.lightninginkpress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Essays, Feminist, Humor, Political, Regional",2023-01-01,
Lily Poetry Review Books,42.0806564,-70.935599,"Whitman, MA 02382, USA",https://lilypoetryreview.blog,"Magazine, Press",Poetry,2018-01-01,
Limberlost Press,43.6150186,-116.2023137,"Boise, ID, USA",https://www.Limberlostpress.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Criticism Reviews, Essays, Interviews, Reviews, Translation, Visual Art",1976-01-01,Amazon and other
Litmus Press,40.6781784,-73.9441579,"Brooklyn, NY, USA",http://www.litmuspress.org,Press,"Fiction, Poetry, Essays, Translation, Visual Art",2004-01-01,Asterism Books
Loblolly Press,35.5360973,-82.6927363,"Candler, NC 28715, USA",https://www.loblollypress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Criticism Reviews, Environment Nature, Essays, Feminist, Interviews, Regional",2023-01-01,Self-distribution
Lookout Books,34.2103894,-77.8868117,"Wilmington, NC, USA",https://lookout.org/,Press,"Fiction, Poetry, Essays, Visual Art",2009-01-01,
Lost & Found: The CUNY Poetics Document Initiative,40.7486355,-73.9838082,"New York, NY, USA",http://lostandfoundbooks.org,Press,"Poetry, Cross Genre Hybrid, Autobiography Memoir, Essays, Interviews, Political, Translation",2010-01-01,Asterism Books and publisher website
Lost Horse Press,42.0853204,-83.6824384,"Milan, MI 48160, USA",http://www.losthorsepress.org,Press,"Creative Nonfiction, Poetry, Essays, Translation",1998-01-01,Asterism Books and other
Lost Kite Editions,44.977753,-93.2650108,"Minneapolis, MN, USA",http://lostkite.org,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Drama, Environment Nature, Essays, Experimental, Feminist, Horror Thriller Suspense, Humor, Interviews, Mystery Crime, Political, Regional, Sci Fi Fantasy Speculative, Translation, Visual Art",2026-01-01,Itasca Books
Lost Penny Press,41.88325,-87.6323879,"Chicago, IL, USA",https://lostpennypress.com/,Press,"Poetry, Drama",2025-01-01,Publisher website
Madville Publishing,33.1192875,-97.0255641,"Lake Dallas, TX 75065, USA",https://madvillepublishing.com,Press,"Audio, Essays, Fiction, Graphic Novels Comics, Poetry, Visual Art",2018-01-01,
Magic Helicopter Press,35.616067,-105.8525154,"Santa Fe, NM 87505, USA",http://www.magichelicopterpress.com,Press,"Audio, Essays, Fiction, Poetry, Translation, Visual Art",2007-01-01,
Making Waves: A West Michigan Review,43.9552825,-86.4525831,"Ludington, MI 49431, USA",http://www.ludingtonwriters.org/mwwm,"Magazine, Press","Fiction, Poetry, Audio, Essays, Graphic Novels Comics, Reviews, Translation, Visual Art",2014-01-01,
Manic D Press,37.7749295,-122.4194155,"San Francisco, CA, USA",https://www.manicdpress.com,Press,"Essays, Fiction, Graphic Novels Comics, Poetry, Translation, Visual Art",1984-01-01,
"Marsh Hawk Press, Inc.",40.6420477,-73.6695747,"East Rockaway, NY, USA",https://www.marshhawkpress.org,Press,Poetry,2001-01-01,Independent Publishers Group
Mason Jar Press,39.2905023,-76.6104072,"Baltimore, MD, USA",https://masonjarpress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Experimental",2014-01-01,Asterism Books and publisher website
Match Factory Editions,41.88325,-87.6323879,"Chicago, IL, USA",https://matchfactoryeditions.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Drama, Essays, Experimental, Feminist, Graphic Novels Comics, Sci Fi Fantasy Speculative, Translation",2025-01-01,
Mayapple Press,42.0323639,-74.0845595,"Woodstock, NY 12498, USA",http://www.mayapplepress.com,Press,"Fiction, Poetry, Translation, Visual Art",1979-01-01,Ingram and publisher website
Meadowlark Press,38.403903,-96.1816626,"Emporia, KS 66801, USA",https://www.meadowlarkbookstore.com/,Press,"Essays, Fiction, Poetry, Visual Art",2014-01-01,
Mercer University Press,32.8362271,-83.6320478,"Macon, GA, USA",https://www.mupress.org/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Environment Nature, Essays, Mystery Crime, Regional, Religious",1979-01-01,
Micromance Magazine,36.1625445,-85.4988041,"Cookeville, TN, USA",http://micromancemagazine.substack.com,"Online, Press","Fiction, Poetry, Flash Fiction",2024-01-01,
Middle West Press LLC,41.6729856,-93.6977354,"Johnston, IA, USA",http://www.middlewestpress.com,Press,"Essays, Fiction, Poetry, Visual Art",2003-01-01,
Milk and Cake Press,39.3988679,-84.5587838,"Hamilton, OH, USA",https://milkandcakepress.wordpress.com,Press,Poetry,2018-01-01,
Milltown Press,48.0517637,-122.1770818,"Marysville, WA, USA",https://milltownpress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Essays, Graphic Novels Comics, Visual Art",2021-01-01,
Minerva Projects,41.9798143,-73.6559602,"Pine Plains, NY 12567, USA",https://minervaprojects.org/,Press,"Creative Nonfiction, Fiction, Poetry, Feminist, Interviews, Translation, Visual Art",2017-01-01,Publisher website
Minerva Rising Press,27.9516896,-82.4587527,"Tampa, FL, USA",http://minervarising.com/,Press,"Fiction, Poetry, Essays, Reviews, Visual Art",2012-01-01,
Miracle Monocle,38.2468618,-85.7663724,"Louisville, KY, USA",https://louisville.edu/miraclemonocle,"Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Essays, Experimental, Feminist, Graphic Novels Comics, Interviews, Reviews, Translation, Visual Art",2009-01-01,
Monday Editions,32.3142451,-106.7797529,"Las Cruces, NM, USA",https://www.mondayeditions.com,Press,"Poetry, Essays",2024-01-01,
Mountain State Press,38.4415766,-81.9175839,"Scott Depot, Teays Valley, WV 25560, USA",https://www.mountainstatepress.org,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Essays, Feminist, Regional",1978-01-01,
Mouthfeel Press,30.7235263,-95.5507771,"Huntsville, TX, USA",https://www.mouthfeelbooks.com,Press,"Fiction, Poetry, Translation, Visual Art",2009-01-01,Ingram and publisher website
Nat 1 Publishing,44.0978509,-70.2311655,"Auburn, ME 04210, USA",https://nat1publishing.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Erotica, Experimental, Flash Fiction, Horror Thriller Suspense, Humor, Sci Fi Fantasy Speculative, Visual Art, Young Adult",2022-01-01,Amazon and other
New American Press,43.3197265,-87.9534226,"Grafton, WI 53024, USA",http://www.newamericanpress.com,Press,"Essays, Fiction, Poetry, Reviews, Translation, Visual Art",2002-01-01,
New Croton Review,41.2804112,-73.8714752,"Cortlandt Manor, NY 10567, USA",https://NewCrotonReview.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Essays, Flash Fiction, Humor, Visual Art",2022-01-01,
new words {press},40.7127753,-74.0059728,"New York, NY, USA",https://newwordspress.com,Press,Poetry,2023-01-01,
Next Page Press,29.4251905,-98.4945922,"San Antonio, TX, USA",http://www.nextpage-press.com,Press,Poetry,2021-01-01,
Night Picnic Press LLC,40.7127753,-74.0059728,"New York, NY, USA",https://www.nightpicnic.net,"Magazine, Press","Essays, Fiction, Poetry, Visual Art",2018-01-01,
Nightshade Press,41.5567167,-75.7552706,"La Plume, La Plume Township, PA, USA",https://www.keystone.edu/presses/nightshade-press/,Press,"Fiction, Poetry, Visual Art",1988-01-01,
Nine Mile Art Corp,42.9119147,-76.1125902,"Lafayette, NY 13084, USA",http://www.ninemile.org,"Magazine, Press",Poetry,2013-01-01,Publisher website
Noco Books,47.6061389,-122.3328481,"Seattle, WA, USA",https://www.nocobo.co,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Essays, Experimental",2024-01-01,
Nomadic Press,37.8043514,-122.2711639,"Oakland, CA, USA",http://www.nomadicpress.org,Press,"Fiction, Poetry, Reviews, Translation, Visual Art",2011-01-01,
NornCrafts,47.6061389,-122.3328481,"Seattle, WA, USA",https://norncrafts.com,"Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Drama, Graphic Novels Comics, Humor, Mystery Crime, Visual Art",2025-01-01,IngramSpark
North Texas Review,33.2165858,-97.1324105,"Denton, TX, USA",https://northtexasreview.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Audio, Criticism Reviews, Essays, Visual Art",1972-01-01,
Octopus Books,41.2565369,-95.9345034,"Omaha, NE, USA",https://www.octopusbooks.net/,Press,Poetry,2006-01-01,Publisher website
Odessa Collective,29.7600771,-95.3701108,"Houston, TX, USA",http://www.odessacollective.com,"Magazine, Press","Essays, Fiction, Poetry, Visual Art",2021-01-01,
Old Scratch Press,34.1442616,-118.0019482,"Monrovia, CA, USA",https://oldscratchpress.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Visual Art",2023-01-01,
ONE BLACK PERCH PUBLISHING,41.5680898,-87.7203257,"Country Club Hills, IL 60478, USA",http://www.OneBlackPerchPublishing.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Criticism Reviews, Drama, Environment Nature, Erotica, Essays, Experimental, Feminist, Graphic Novels Comics, Horror Thriller Suspense, Humor, Interviews, Mystery Crime, Political, Regional, Religious, Reviews, Sci Fi Fantasy Speculative, Translation, Visual Art, Young Adult",2021-01-01,
Open Books,39.5979553,-105.2077798,"Morrison, CO 80465, USA",http://www.open-bks.com,Press,"Essays, Fiction, Poetry, Visual Art",2007-01-01,
Oreades Press,40.6781784,-73.9441579,"Brooklyn, NY, USA",https://oreadespress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Environment Nature, Essays, Experimental, Interviews, Regional, Visual Art",2014-01-01,
Our Bold Voices,45.515232,-122.6783853,"Portland, OR, USA",https://www.ourboldvoices.com/,"Online, Press","Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Flash Fiction",2016-01-01,
Paddler Press,44.3047061,-78.3199606,"Peterborough, ON, Canada",http://paddlerpress.ca,Press,"Poetry, Visual Art",2021-01-01,
PalmArtPress,52.5200066,13.404954,"Berlin, Germany",https://www.palmartpress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Criticism Reviews, Drama, Essays, Experimental, Translation, Visual Art",2008-01-01,Amazon and other
Paloma Press,37.5629917,-122.3255254,"San Mateo, CA, USA",https://palomapress.org,Press,"Creative Nonfiction, Fiction, Poetry, Environment Nature",2016-01-01,
Parlor Press,34.5034394,-82.6501332,"Anderson, SC, USA",https://parlorpress.com,Press,"Creative Nonfiction, Poetry, Cross Genre Hybrid, Criticism Reviews, Essays, Feminist",2002-01-01,
Passager,39.2905023,-76.6104072,"Baltimore, MD, USA",http://www.passagerbooks.com,"Magazine, Press","Fiction, Poetry, Autobiography Memoir, Visual Art",1990-01-01,Itasca Books and publisher website
Peculiar Mormyrid,33.7501275,-84.3885209,"Atlanta, GA, USA",https://peculiarmormyrid.com/,"Magazine, Press","Fiction, Poetry, Cross Genre Hybrid, Experimental",2015-01-01,
Pelekinesis,34.0966764,-117.7197785,"Claremont, CA, USA",http://www.pelekinesis.com,Press,"Fiction, Poetry, Essays, Graphic Novels Comics, Visual Art",2011-01-01,Ingram and publisher website
Persea Books,40.7127753,-74.0059728,"New York, NY, USA",http://www.perseabooks.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Environment Nature, Essays, Experimental, Feminist, Flash Fiction, Translation",1975-01-01,
Perugia Press,42.335505,-72.6719853,"Florence, Northampton, MA, USA",https://perugiapress.org,Press,Poetry,1997-01-01,Asterism Books and publisher website
PHIL LIT Journal,34.2073196,-84.1401926,"Cumming, GA, USA",https://www.PHILLITJournal.com,"Magazine, Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Environment Nature, Essays, Experimental, Feminist, Humor, Interviews, Sci Fi Fantasy Speculative, Visual Art, Young Adult",2025-01-01,Other
Pierian Springs Press,44.7971939,-106.9561791,"Sheridan, WY 82801, USA",http://pierianspringspress.com,Press,"Fiction, Poetry, Audio, Essays, Graphic Novels Comics, Translation, Visual Art",2012-01-01,
Pile Press,45.515232,-122.6783853,"Portland, OR, USA",https://pilepress.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Essays, Feminist, Graphic Novels Comics, Interviews, Regional, Sci Fi Fantasy Speculative, Visual Art",2021-01-01,Other
PM Press,42.0971204,-75.9116546,"Binghamton, NY, USA",https://www.pmpress.org/,Press,"Creative Nonfiction, Fiction, Poetry, Audio, Autobiography Memoir, Criticism Reviews, Environment Nature, Essays, Feminist, Graphic Novels Comics, Horror Thriller Suspense, Humor, Interviews, Mystery Crime, Political, Regional, Sci Fi Fantasy Speculative, Translation, Visual Art, Young Adult",2007-01-01,
Poetic Matrix Press,36.96,-120.06,"Madera, CA 93639, USA",http://www.poeticmatrix.com,Press,"Poetry, Visual Art",1997-01-01,
Poetose,42.3132414,-71.1141118,"Jamaica Plain, Boston, MA, USA",https://poetose.com,Press,"Audio, Essays, Fiction, Poetry, Reviews, Translation, Visual Art",2016-01-01,
Poetry Society of Vermont,44.2600593,-72.5753869,"Montpelier, VT 05602, USA",https://poetrysocietyofvermont.org,Press,Poetry,1947-01-01,
Poets & Traitors Press,40.6781784,-73.9441579,"Brooklyn, NY, USA",http://www.poets-traitors.com,Press,"Poetry, Translation",2017-01-01,
Porphyry Press,61.4330692,-142.9229248,"McCarthy, AK 99566, USA",https://porphyry.press/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Environment Nature, Essays, Experimental, Feminist, Regional",2021-01-01,
Prolific Pulse Press LLC,35.7795897,-78.6381787,"Raleigh, NC, USA",https://www.prolificpulse.com/,Press,"Creative Nonfiction, Fiction, Poetry, Humor, Interviews, Reviews, Visual Art, Young Adult",2021-01-01,
Provincetown Arts Press,42.0547136,-70.1846012,"Provincetown, MA, USA",https://provincetownarts.org,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Essays, Interviews, Reviews, Visual Art",1985-01-01,
Pulley Press,47.6061389,-122.3328481,"Seattle, WA, USA",https://www.pulleypress.com/,Press,Poetry,2020-01-01,Ingram
Puncher and Wattmann,-32.9051037,151.7238805,"Waratah NSW 2298, Australia",https://puncherandwattmann.com/,Press,"Creative Nonfiction, Fiction, Poetry, Essays",2003-01-01,
Radiator Press,39.9525839,-75.1652215,"Philadelphia, PA, USA",https://radiatorpress.org/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Essays, Experimental",2018-01-01,Publisher website
Radix Printing & Publishing Cooperative,40.6815619,-73.9785952,"Brooklyn, NY 11217, USA",https://radix.coop/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Essays, Feminist, Graphic Novels Comics, Horror Thriller Suspense, Political, Sci Fi Fantasy Speculative, Visual Art",2010-01-01,Asterism Books and other
Rainproof Press,42.3555076,-71.0565364,"Boston, MA, USA",https://www.rainproofpress.com/,Press,"Fiction, Poetry, Visual Art",2023-01-01,
Red Bird Chapbooks,44.9908014,-93.0962099,"Little Canada, MN 55117, USA",http://www.redbirdchapbooks.com,Chapbook,"Essays, Fiction, Graphic Novels Comics, Poetry, Visual Art",2010-01-01,
Red Hen Press,34.17,-118.13,"Pasadena, CA 91114, USA",http://www.redhen.org,Press,"Essays, Fiction, Poetry, Translation, Visual Art",1994-01-01,
Red Rook Press,33.21031,-87.5658722,"Tuscaloosa, AL, USA",https://redrookpress.org/,Press,"Creative Nonfiction, Fiction, Poetry",2022-01-01,
Red Shoe Press,45.4869283,-122.804032,"Beaverton, OR, USA",https://www.facebook.com/RedShoePress,Press,"Poetry, Environment Nature",2022-01-01,
Redhawk Publications,35.7344538,-81.3444573,"Hickory, NC, USA",https://RedhawkPublications.com,Press,"Fiction, Graphic Novels Comics, Poetry, Visual Art",2017-01-01,
Rejected Literature Magazine,45.6793119,-111.037259,"Bozeman, MT, USA",https://www.rejectedlit.com/,"Magazine, Press","Poetry, Criticism Reviews, Experimental, Political, Regional, Religious",2021-01-01,
Resolute Bear Press,45.0781324,-67.1094283,"Robbinston, ME, USA",https://www.facebook.com/resolute.bear.press/,Press,"Fiction, Poetry, Visual Art",2008-01-01,
Riot of Roses Publishing House,33.9754423,-118.0326781,"Whittier, CA, USA",https://www.riotofrosespublishinghouse.com/,Press,"Creative Nonfiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Essays, Feminist, Graphic Novels Comics, Political, Sci Fi Fantasy Speculative, Visual Art",2021-01-01,IngramSpark
Roadside Press,37.1694632,-104.5005407,"Trinidad, CO 81082, USA",https://roadsidefam.com/,Press,"Essays, Fiction, Graphic Novels Comics, Poetry, Visual Art",2022-01-01,
Room: A Sketchbook for Analytic Action,40.7127753,-74.0059728,"New York, NY, USA",http://www.analytic-room.com,"Magazine, Press","Fiction, Poetry, Essays, Reviews, Translation, Visual Art",2017-01-01,
Rose Metal Press,42.3317642,-71.1211635,"Brookline, MA, USA",http://www.rosemetalpress.com,Press,"Fiction, Poetry, Essays, Visual Art",2006-01-01,Itasca Books and publisher website
Roving Eye Press,39.4195499,-76.7802528,"Owings Mills, MD, USA",https://rovingeyepress.umbc.edu/,Press,"Poetry, Visual Art",2014-01-01,
"Saint Julian Press, Inc.",29.7600771,-95.3701108,"Houston, TX, USA",http://www.saintjulianpress.com/index.html,Press,"Fiction, Poetry, Reviews, Translation, Visual Art",2011-01-01,
Salt Bloom Literary Journal,41.8489872,-72.5717551,"South Windsor, CT, USA",http://saltbloom.org,Press,"Creative Nonfiction, Fiction, Poetry, Drama",2026-01-01,Other
Santa Fe Writers Project,35.6894307,-105.9381944,"Santa Fe, NM, USA",http://sfwp.com/,Press,"Essays, Fiction, Poetry, Visual Art",1998-01-01,
Sarabande Books,38.2468618,-85.7663724,"Louisville, KY, USA",http://www.sarabandebooks.org,Press,"Fiction, Poetry, Essays",1994-01-01,
Saturnalia Books,40.0067785,-75.2854622,"Ardmore, PA, USA",http://www.saturnaliabooks.org,Press,"Poetry, Visual Art",2001-01-01,
Scientists & Poets,42.1748823,-73.5827352,"Craryville, Copake, NY, USA",https://www.scientistsandpoets.com,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Drama, Essays",2016-01-01,Amazon and other
Scrambler Books,38.5449065,-121.7405167,"Davis, CA, USA",https://thescrambler.com,Press,"Fiction, Poetry",2003-01-01,Publisher website
Sea Crow Press LLC,42.4500845,-73.2453824,"Pittsfield, MA 01201, USA",http://seacrowpress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Environment Nature, Essays, Feminist, Mystery Crime, Regional, Young Adult",2020-01-01,Other
Sheepshead Review,44.5133188,-88.0132958,"Green Bay, WI, USA",https://sheepsheadreview.com,"Magazine, Press","Fiction, Poetry, Essays, Visual Art",1975-01-01,
Shipwreckt Books Publishing Company,44.0553908,-91.6663523,"Winona, MN 55987, USA",http://shipwrecktbooks.press,"Magazine, Press","Fiction, Poetry, Essays, Reviews, Visual Art",2013-01-01,
Sibling Rivalry Press,34.756104,-92.2677497,"North Little Rock, AR, USA",https://www.siblingrivalrypress.com,Press,"Creative Nonfiction, Fiction, Poetry",2010-01-01,Ingram
Silent River,33.6845673,-117.8265049,"Irvine, CA, USA",https://silentriver.us/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Criticism Reviews, Environment Nature, Essays, Experimental, Feminist, Interviews, Reviews, Translation, Visual Art",2010-01-01,IngramSpark
Slant Books,47.9186216,-122.5542458,"Hansville, WA, USA",https://slantbooks.org/,Press,"Creative Nonfiction, Fiction, Poetry, Audio, Autobiography Memoir, Criticism Reviews, Drama, Essays, Mystery Crime, Religious, Translation, Visual Art",2013-01-01,
Slate Roof Press,42.6959093,-72.4528885,"Northfield, MA, USA",http://www.slateroofpress.com,Chapbook,Poetry,2004-01-01,
Solum Literary Press,33.4948764,-111.9216734,"Scottsdale, AZ, USA",https://www.solumpress.com,Press,"Audio, Essays, Fiction, Poetry, Visual Art",2020-01-01,
South Broadway Press,39.7392358,-104.990251,"Denver, CO, USA",https://www.southbroadwaypress.org,Press,"Poetry, Criticism Reviews, Essays, Experimental, Interviews, Reviews",2018-01-01,
Spout Press,44.977753,-93.2650108,"Minneapolis, MN, USA",https://www.spoutpress.org/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Drama, Essays, Experimental, Visual Art",1989-01-01,Asterism Books and publisher website
Spuyten Duyvil,40.6815619,-73.9785952,"Brooklyn, NY 11217, USA",http://www.spuytenduyvil.net,Press,"Audio, Essays, Fiction, Graphic Novels Comics, Poetry, Translation, Visual Art",1982-01-01,
Stalking Horse Press,35.6894307,-105.9381944,"Santa Fe, NM, USA",https://www.stalkinghorsepress.com,Press,"Fiction, Poetry, Criticism Reviews, Experimental, Graphic Novels Comics, Mystery Crime, Sci Fi Fantasy Speculative",2015-01-01,Ingram
Stellaria Creative Company,37.048345,-122.0168296,"Scotts Valley, CA 95066, USA",https://www.stellariacreativecompany.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Drama, Environment Nature, Experimental, Feminist, Graphic Novels Comics, Interviews, Mystery Crime, Sci Fi Fantasy Speculative, Young Adult",2013-01-01,
Sterncastle Publishing,44.6367836,-124.0534505,"Newport, OR, USA",https://sterncastle.org,Press,"Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Drama, Environment Nature, Feminist, Graphic Novels Comics, Horror Thriller Suspense, Humor, Mystery Crime, Regional, Sci Fi Fantasy Speculative, Young Adult",2022-01-01,
Stillhouse Press,38.8454321,-77.3209555,"Fairfax, VA 22030, USA",http://www.stillhousepress.org/,Press,"Essays, Fiction, Poetry, Visual Art",2014-01-01,
Strange Incorporated,40.7432847,-73.8549518,"Queens, NY, USA",https://strangeincorporated.org,Press,"Fiction, Poetry, Visual Art",2014-01-01,
Sundress Publications,36.0103561,-84.2696449,"Oak Ridge, TN, USA",http://www.sundresspublications.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir",2000-01-01,
Switchback Books,39.9205411,-105.0866504,"Broomfield, CO, USA",https://www.switchbackbooks.com/,Press,Poetry,2006-01-01,Asterism Books
Tamara MC Mag & Press,32.2539787,-110.9741769,"Tucson, AZ, USA",https://tamaramc.com/,"Magazine, Press","Creative Nonfiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Criticism Reviews, Environment Nature, Essays, Experimental, Feminist, Humor, Interviews, Political, Regional, Religious, Reviews",2025-01-01,
Tender Buttons Press,40.7127753,-74.0059728,"New York, NY, USA",http://www.tenderbuttonspress.com,Press,"Poetry, Translation, Visual Art",1989-01-01,Asterism Books
The 3rd Thing,47.0451842,-122.895355,"Olympia, WA, USA",https://the3rdthing.press,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Essays, Experimental, Feminist, Graphic Novels Comics, Visual Art",2019-01-01,Asterism Books and publisher website
The American Poetry Review,39.9525839,-75.1652215,"Philadelphia, PA, USA",https://www.aprweb.org/,"Magazine, Press","Fiction, Poetry, Essays, Reviews, Translation, Visual Art",1972-01-01,
The Antonym Collections,22.1366735,88.556531,"South 24 Parganas, West Bengal, India",https://antonymcollection.com/,"Magazine, Online, Press","Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Essays, Experimental, Feminist, Graphic Novels Comics, Horror Thriller Suspense, Interviews, Mystery Crime, Reviews, Sci Fi Fantasy Speculative, Translation, Young Adult",2023-01-01,
